ticker,company,runway_as_of,cash_m,runway_low_mo,runway_high_mo,runway_reliable,nct,trial_status,is_binding_catalyst,is_lapsed,revision_version,submitted,pcd,pcd_type,moved_days,held_days,carried_expired,days_expired,is_late_move,is_reversal,gap_months,verdict
BEAM,Beam Therapeutics Inc.,2026-03-31,1211.7,28.28,39.33,True,NCT05885464,ACTIVE_NOT_RECRUITING,True,False,0,2023-06-01,2031-12,ESTIMATED,,,False,0,False,False,20.21,funded to catalyst
BEAM,Beam Therapeutics Inc.,2026-03-31,1211.7,28.28,39.33,True,NCT05885464,ACTIVE_NOT_RECRUITING,True,False,10,2025-01-06,2026-12,ESTIMATED,-1826,2520,False,0,False,False,20.21,funded to catalyst
RCKT,"ROCKET PHARMACEUTICALS, INC.",2026-03-31,144.4,9.54,9.65,True,NCT06092034,RECRUITING,True,False,0,2023-10-17,2025-09,ESTIMATED,,,False,0,False,False,-14.52,financing required before catalyst
RCKT,"ROCKET PHARMACEUTICALS, INC.",2026-03-31,144.4,9.54,9.65,True,NCT06092034,RECRUITING,True,False,3,2025-10-01,2028-04,ESTIMATED,943,-30,True,30,False,False,-14.52,financing required before catalyst
RCKT,"ROCKET PHARMACEUTICALS, INC.",2026-03-31,144.4,9.54,9.65,True,NCT04248439,ACTIVE_NOT_RECRUITING,False,True,0,2020-01-28,2023-08,ESTIMATED,,,False,0,False,False,,
RCKT,"ROCKET PHARMACEUTICALS, INC.",2026-03-31,144.4,9.54,9.65,True,NCT04248439,ACTIVE_NOT_RECRUITING,False,True,1,2020-11-23,2022-06,ESTIMATED,-426,981,False,0,False,False,,
RCKT,"ROCKET PHARMACEUTICALS, INC.",2026-03-31,144.4,9.54,9.65,True,NCT04248439,ACTIVE_NOT_RECRUITING,False,True,2,2024-04-08,2026-05,ESTIMATED,1430,-677,True,677,False,False,,
RCKT,"ROCKET PHARMACEUTICALS, INC.",2026-03-31,144.4,9.54,9.65,True,NCT04248439,ACTIVE_NOT_RECRUITING,False,True,3,2025-12-18,2026-05-05,ESTIMATED,4,134,False,0,False,False,,
KYMR,"KYMERA THERAPEUTICS, INC.",2026-03-31,650.9,21.98,32.2,True,NCT07217015,ACTIVE_NOT_RECRUITING,True,False,0,2025-10-13,2027-06,ESTIMATED,,,False,0,False,False,7.95,funded to catalyst
NUVL,"NUVALENT, INC.",2026-03-31,1287.5,41.8,49.39,True,NCT05384626,RECRUITING,True,False,0,2022-05-17,2026-02,ESTIMATED,,,False,0,False,False,21.75,funded to catalyst
NUVL,"NUVALENT, INC.",2026-03-31,1287.5,41.8,49.39,True,NCT05384626,RECRUITING,True,False,48,2025-07-21,2027-12,ESTIMATED,668,195,False,0,False,False,21.75,funded to catalyst
PRME,"Prime Medicine, Inc.",2026-03-31,135.5,9.52,10.4,True,NCT06559176,ENROLLING_BY_INVITATION,True,False,0,2024-08-16,2029-09,ESTIMATED,,,False,0,False,False,-35.58,financing required before catalyst
PRME,"Prime Medicine, Inc.",2026-03-31,135.5,9.52,10.4,True,NCT06559176,ENROLLING_BY_INVITATION,True,False,3,2024-10-04,2029-10,ESTIMATED,30,1793,False,0,False,False,-35.58,financing required before catalyst
PRME,"Prime Medicine, Inc.",2026-03-31,135.5,9.52,10.4,True,NCT06559176,ENROLLING_BY_INVITATION,True,False,4,2024-10-09,2029-11,ESTIMATED,31,1818,False,0,False,False,-35.58,financing required before catalyst
PRME,"Prime Medicine, Inc.",2026-03-31,135.5,9.52,10.4,True,NCT06559176,ENROLLING_BY_INVITATION,True,False,6,2025-01-22,2030-01,ESTIMATED,61,1744,False,0,False,False,-35.58,financing required before catalyst
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT05548127,ACTIVE_NOT_RECRUITING,True,False,0,2022-09-17,2025-09-26,ESTIMATED,,,False,0,False,False,21.59,funded to catalyst
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT05548127,ACTIVE_NOT_RECRUITING,True,False,1,2022-12-05,2025-11-11,ESTIMATED,46,1026,False,0,False,False,21.59,funded to catalyst
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT05548127,ACTIVE_NOT_RECRUITING,True,False,2,2023-02-01,2025-11-16,ESTIMATED,5,1014,False,0,False,False,21.59,funded to catalyst
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT05548127,ACTIVE_NOT_RECRUITING,True,False,4,2023-03-24,2025-12-09,ESTIMATED,23,968,False,0,False,False,21.59,funded to catalyst
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT05548127,ACTIVE_NOT_RECRUITING,True,False,6,2024-02-05,2025-12-03,ESTIMATED,-6,673,False,0,False,False,21.59,funded to catalyst
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT05548127,ACTIVE_NOT_RECRUITING,True,False,7,2024-03-20,2025-12-31,ESTIMATED,28,623,False,0,False,False,21.59,funded to catalyst
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT05548127,ACTIVE_NOT_RECRUITING,True,False,13,2024-11-13,2025-09-25,ESTIMATED,-97,413,False,0,False,False,21.59,funded to catalyst
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT05548127,ACTIVE_NOT_RECRUITING,True,False,17,2025-09-02,2026-03-01,ESTIMATED,157,23,False,0,True,False,21.59,funded to catalyst
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT05548127,ACTIVE_NOT_RECRUITING,True,False,18,2026-02-05,2026-09-01,ESTIMATED,184,24,False,0,True,False,21.59,funded to catalyst
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT05654623,ACTIVE_NOT_RECRUITING,False,True,0,2022-12-08,2024-08-15,ESTIMATED,,,False,0,False,False,,
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT05654623,ACTIVE_NOT_RECRUITING,False,True,2,2023-01-27,2024-11-13,ESTIMATED,90,566,False,0,False,False,,
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT05654623,ACTIVE_NOT_RECRUITING,False,True,4,2023-03-13,2024-08-14,ESTIMATED,-91,611,False,0,False,False,,
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT05654623,ACTIVE_NOT_RECRUITING,False,True,14,2024-07-31,2024-11-18,ESTIMATED,96,14,False,0,True,False,,
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT05654623,ACTIVE_NOT_RECRUITING,False,True,16,2024-11-20,2025-01-31,ESTIMATED,74,-2,True,2,False,False,,
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT06206837,ACTIVE_NOT_RECRUITING,False,True,0,2024-01-04,2026-05-18,ESTIMATED,,,False,0,False,False,,
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT06206837,ACTIVE_NOT_RECRUITING,False,True,2,2024-03-01,2025-08-14,ESTIMATED,-277,808,False,0,False,False,,
ARVN,"ARVINAS, INC.",2026-03-31,614.9,26.66,29.04,True,NCT06206837,ACTIVE_NOT_RECRUITING,False,True,10,2025-04-28,2025-09-05,ESTIMATED,22,108,False,0,False,False,,
